Genus	CA1	CA2	CA3	GCA1	GCA2	GCA3	mean1	mean2	FC	log2FC	pvalue
g__Candidatus_Ovatusbacter	36	44	36	0	0	0	38.66666667	0	0	#NUM!	0.000131532
g__unclassified_f__Oxalobacteraceae	0	0	0	56	46	40	0	47.33333333	#DIV/0!	#DIV/0!	0.000531959
g__Methyloversatilis	0	0	3	102	76	105	1	94.33333333	94.33333333	6.559695742	0.000545467
g__norank_f__Reyranellaceae	0	0	0	5	5	7	0	5.666666667	#DIV/0!	#DIV/0!	0.001050578
g__unclassified_f__Oxalobacteraceae	0	17	0	62	68	50	5.666666667	60	10.58823529	3.404390255	0.002182862
g__unclassified_f__Comamonadaceae	0	16	0	1505	1452	912	5.333333333	1289.666667	241.8125	7.917745013	0.002474957
g__unclassified_f__Comamonadaceae	0	0	0	36	53	32	0	40.33333333	#DIV/0!	#DIV/0!	0.003311648
g__unclassified_f__Parachlamydiaceae	9	11	6	0	0	0	8.666666667	0	0	#NUM!	0.003967113
g__unclassified_f__Oxalobacteraceae	0	0	0	20	14	28	0	20.66666667	#DIV/0!	#DIV/0!	0.007000296
g__Cupriavidus	38	56	40	0	19	0	44.66666667	6.333333333	0.141791045	-2.818161677	0.010820083
g__unclassified_f__Comamonadaceae	19	0	12	49	93	72	10.33333333	71.33333333	6.903225806	2.787270676	0.011693459
g__Bdellovibrio	0	4	6	16	20	12	3.333333333	16	4.8	2.263034406	0.012072544
g__Paenibacillus	41	44	29	18	8	0	38	8.666666667	0.228070175	-2.132450296	0.013380653
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	39	88	51	0	0	0	59.33333333	0	0	#NUM!	0.015815977
g__unclassified_f__Microscillaceae	16	28	20	5	0	8	21.33333333	4.333333333	0.203125	-2.299560282	0.015872804
g__Legionella	2	5	3	0	0	0	3.333333333	0	0	#NUM!	0.019441768
g__Ferrovibrio	0	23	0	37	45	31	7.666666667	37.66666667	4.913043478	2.296617006	0.025841769
g__Bauldia	0	0	0	11	31	37	0	26.33333333	#DIV/0!	#DIV/0!	0.028559658
g__Streptomyces	55	25	40	0	0	17	40	5.666666667	0.141666667	-2.819427754	0.029449793
g__Chryseobacterium	0	0	0	3	8	4	0	5	#DIV/0!	#DIV/0!	0.030694546
g__Rhizobacter	25	14	28	12	0	0	22.33333333	4	0.179104478	-2.48112669	0.034880786
g__unclassified_f__Rhizobiaceae	0	0	0	53	15	35	0	34.33333333	#DIV/0!	#DIV/0!	0.03523954
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	120	251	139	677	354	848	170	626.3333333	3.684313725	1.881395915	0.038695579
g__Streptomyces	0	0	0	20	14	42	0	25.33333333	#DIV/0!	#DIV/0!	0.040884702
g__Hyphomicrobium	94	24	60	0	0	0	59.33333333	0	0	#NUM!	0.042565238
g__P3OB-42	10	0	0	17	29	48	3.333333333	31.33333333	9.4	3.232660757	0.04365947
