Genus	NA1	NA2	NA3	GNA1	GNA2	GNA3	mean1	mean2	FC	LOG2FC	PVALUE
g__Mesorhizobium	9	10	13	0	0	0	10.66666667	0	0	#NUM!	0.000890322
g__Polyangium_brachysporum_group	44	24	39	0	0	0	35.66666667	0	0	#NUM!	0.004039801
g__Paenibacillus	53	99	87	0	0	0	79.66666667	0	0	#NUM!	0.00444188
g__unclassified_f__Oxalobacteraceae	28	0	40	90	86	67	22.66666667	81	3.573529412	1.837349662	0.013441887
g__unclassified_f__Comamonadaceae	1045	1913	906	0	38	0	1288	12.66666667	0.009834369	-6.667951865	0.015545261
g__norank_f__Mitochondria	20	34	30	0	14	0	28	4.666666667	0.166666667	-2.584962501	0.020278992
g__Paenibacillus	0	0	0	26	61	29	0	38.66666667	#DIV/0!	#DIV/0!	0.025999327
g__unclassified_f__Comamonadaceae	407	594	1128	0	0	0	709.6666667	0	0	#NUM!	0.030352459
g__Devosia	20	24	30	9	18	15	24.66666667	14	0.567567568	-0.817135943	0.053305056
g__Cellvibrio	0	14	7	111	188	45	7	114.6666667	16.38095238	4.033947332	0.06047787
g__Devosia	37	21	33	10	21	0	30.33333333	10.33333333	0.340659341	-1.55359833	0.061044421
g__unclassified_f__Comamonadaceae	0	0	0	12	54	27	0	31	#DIV/0!	#DIV/0!	0.065166001
g__Deinococcus	0	0	0	14	11	2	0	9	#DIV/0!	#DIV/0!	0.06704183
g__Pseudoxanthobacter	24	12	4	0	0	0	13.33333333	0	0	#NUM!	0.083474038
g__Ferrovibrio	13	19	38	8	8	0	23.33333333	5.333333333	0.228571429	-2.129283017	0.087455567
g__unclassified_f__Erwiniaceae	0	0	0	3	43	33	0	26.33333333	#DIV/0!	#DIV/0!	0.093580683
g__unclassified_f__Oxalobacteraceae	37	36	0	0	0	0	24.33333333	0	0	#NUM!	0.116191157
g__Paenibacillus	0	0	0	35	33	0	0	22.66666667	#DIV/0!	#DIV/0!	0.116460484
g__unclassified_o__Babeliales	5	4	18	0	0	0	9	0	0	#NUM!	0.116661849
g__Stenotrophomonas	0	0	0	13	11	0	0	8	#DIV/0!	#DIV/0!	0.118871406
g__Ensifer	0	0	0	19	16	0	0	11.66666667	#DIV/0!	#DIV/0!	0.119030628
g__unclassified_f__Comamonadaceae	0	29	35	0	0	0	21.33333333	0	0	#NUM!	0.119600708
g__unclassified_f__Comamonadaceae	28	37	0	0	0	0	21.66666667	0	0	#NUM!	0.123685939
g__Bacteroides	3	4	0	0	0	0	2.333333333	0	0	#NUM!	0.124170236
g__Sphingobium	0	0	0	3	0	4	0	2.333333333	#DIV/0!	#DIV/0!	0.124170236
