level3	GCA3	GCA2	GCA1	NA3	NA1	NA2	CA3	CA1	CA2	GNA3	GNA2	GNA1
Metabolic pathways	5583445.33	5742628.64	5583617.09	5505034.75	5660108.05	5785033.3	5394924.66	5604436.15	5063017.11	3940462.85	5366481.26	4284312.09
Biosynthesis of secondary metabolites	2297661.76	2346018.62	2292594.8	2285311.36	2360374.12	2444985.03	2315862.53	2456009.66	2155478.71	1614195.18	2204167.68	1754322.18
Microbial metabolism in diverse environments	1789137.2	1838416.87	1753904.89	1752275.66	1802255.74	1835177.34	1723632.89	1775834.84	1608231.32	1235590.11	1714498.65	1396268.62
ABC transporters	1269636.84	1312189.33	1267921.24	1173433.68	1238351.7	1272106.98	1059557.35	1055596.94	1025736.26	902627.97	1206273.97	927840.38
Biosynthesis of amino acids	934924.31	956128.41	919511.44	914141.78	932113.97	981048.45	905973.2	929408.07	861923.85	645159.51	901105.51	703973.53
Two-component system	912799.04	994523.86	950758.9	915500.6	907228.99	938786.5	744007.12	697235.37	742652.99	577611.77	876501.01	680041.95
Carbon metabolism	782590.6	799013.67	778679.51	777959.62	791453.78	831315.76	793880.55	831268.84	738641.79	565892.63	754033.61	593819.99
Quorum sensing	777201.18	799243.73	759713.69	734807.4	771711.84	806386.31	683175.94	673779.2	650703.56	494368.98	700113.91	547089.86
Ribosome	364944.23	363218.29	364713.56	363931.33	352958.97	389412.25	374924.03	382102.63	364586.4	243767.04	344704.77	268750.36
Glyoxylate and dicarboxylate metabolism	363676.6	366468.69	365986.92	354051.66	363675.41	370813.01	358945.74	366339.43	333659.14	254738.7	347740.71	274399.01
Purine metabolism	356464.41	358366.54	362914.07	353373.67	344433.57	365416.24	358081.97	377696.67	341687.92	272353.77	346832.68	276580.7
Oxidative phosphorylation	336187.41	336484.6	337942.39	333871.6	330668.21	333202.87	332648.48	338299.07	319739.09	253566.53	317892.94	262347.61
Pyruvate metabolism	327630.6	335273.38	323498	321548.31	325892.31	335787.2	318553.82	320704.74	304746.74	220698.04	311943.13	249057.17
Glycine, serine and threonine metabolism	298928.46	304451.25	297713.48	289389.41	304062.71	307329.46	286680.74	300685.83	270950.56	214816.88	293474.97	222323.04
Butanoate metabolism	294592.23	302861.52	286603.45	290239.32	295564.95	292501.54	286591.67	291727.76	264006.91	181173.8	273278.71	232000.68
Bacterial secretion system	287115.77	306691.43	296911.66	292938.8	282045.68	296097.94	219034.78	188909.38	233114.54	202798.99	272330	206750.44
Cysteine and methionine metabolism	273915.64	286387.89	268610.46	269780.81	274258.03	282973.27	252585.41	251514.23	244194.5	172267.85	264515.74	202782.7
Fatty acid metabolism	267508.08	268908.23	264880.19	271520.65	278076.75	271631.15	283035.94	304230.74	253100.89	182232.9	247425.66	208372.71
Valine, leucine and isoleucine degradation	266199.81	262711.74	261199.48	266017.13	273010.46	269182.83	275689.45	289118.26	251084.45	185885.71	246181.59	199106
Propanoate metabolism	247523.46	251328.76	241186.32	244355.3	247400.61	252121.01	243930	245991.85	230540.36	169118.41	235740.95	191226.57
