	ph				S-NAG				S-NP				S-β-GC		
1	7.17	7.146666667	0.026246693		6.592	6.583	1.065955284		0.056961711	0.058203255	0.040934432		6.093	6.532333333	0.408032951
ck	7.11				7.884				0.008701323				6.428		
1	7.16				5.273				0.108946732				7.076		
2	7.36	7.363333333	0.012472191		8.586 	8.467666667	0.286428971		0.513	0.486666667	0.020499322		11.884	10.964	1.522584645
IN	7.35				8.073 				0.463				12.190 		
2	7.38				8.744 				0.484				8.818		
3	7.14	7.11	0.024494897		6.93	7.156	0.970185893		0.143	0.108333333	0.024729649		6.469	6.375	0.820825195
INM	7.11				6.097				0.087				7.330 		
3	7.08				8.441				0.095				5.326		
4	7.14	7.196666667	0.054365021		5.402 	6.623333333	0.881274204		0.466	0.456	0.016309506		5.502	5.845	0.945697979
IA	7.18				7.449 				0.469				4.897		
4	7.27				7.019 				0.433				7.136		
5	7.08	7.1	0.028284271		7.501	6.336	0.835733211		0.032	0.026666667	0.009741093		6.432	5.986333333	1.067774737
IAM	7.08				5.581				0.035				4.514		
5	7.14				5.926				0.013				7.013		
